,313,"Javorka Martin, JUDr.",,,,0
,314,"Javorský Vladimír, JUDr.",,,,0
,315,"Jelšovská Alexandra, JUDr.",,,,0
,316,"Jenčík Peter, JUDr.",,,,0
,317,"Jesztrebiová Adriana, JUDr.",,,,0
,318,"Jevčák Juraj, JUDr.",,,,0
,319,"Ježíková Viera, Mgr.",,,,0
,320,"Jozef Ján, JUDr.",,,,0
,321,"Judiak František, Mgr.",,,,0
,322,"Juhás Pavol, JUDr.",,,,0
,323,"Juhász Slavomír, JUDr.",,,,0
,324,"Jurčová Katarína, Mgr.",,,,0
,325,"Juríčková Soňa, JUDr.",,,,0
,326,"Jurinová Jana, JUDr.",,,,0
,327,"Jurko Peter, JUDr.",,,,0
,328,"Jurtinusová Monika, JUDr.",,,,0
,329,"Kaan Ivan, Mgr.",,,,0
,330,"Kaanová Mária, JUDr.",,,,0
,331,"Kabáčová Veronika, JUDr.",,,,0
,332,"Kačíreková Anna, JUDr.",,,,0
,333,"Kajaba Radovan, JUDr. PhD.",,,,0
,334,"Kalužný Dušan, JUDr.",,,,0
,335,"Kaman Róbert, JUDr.",,,,0
,336,"Kamenár Matúš, JUDr.",,,,0
,337,"Kanárik Peter, JUDr.",,,,0
,338,"Kandera Jozef, JUDr.",,,,0
,339,"Kandráč Adrián, JUDr.",,,,0
,340,"Kaniansky Juraj, JUDr.",,,,0
,341,"Kaprál Roman, JUDr.",,,,0
,342,"Kapraľová Zuzana, JUDr.",,,,0
,343,"Karkalíková Andrea, JUDr.",,,,0
,344,"Kasajová Katarína, JUDr.",,,,0
,345,"Kečkešová Alexandra, JUDr.",,,,0
,346,"Keleová Alexandra, Mgr.",,,,0
,347,"Keller Pavel, Mgr.",,,,0
,348,"Kellerová Martina, JUDr.",,,,0
,349,"Kellerová Martina, JUDr.",,,,0
,350,"Kenderešová Eva, JUDr.",,,,0
,351,"Kica Pavel, JUDr.",,Okresná prokuratúra,Trebišov,1
,352,"Klaučová Zdeňka, JUDr.",,Okresná prokuratúra,Liptovský Mikuláš,1
,353,"Klčo Ľubomír, JUDr.",,,,0
,354,"Kleiman Jozef, JUDr.",,,,0
,355,"Klemová Margita, JUDr.",,,,0
,356,"Klempová Stanislava, JUDr.",,,,0
,357,"Klimentová Viera, JUDr.",,,,0
,358,"Klimentová Vladimíra, JUDr.",,,,0
,359,"Klimová Anna, JUDr.",,,,0
,360,"Kľocová Zuzana, JUDr.",,,,0
,361,"Klorusová Ivana, JUDr.",,,,0
