,id,judge,court,Vybavenosť,Reštančné z nevybavených,Kapacita vybavovať,Potvrdené rozhodnutia
393,198,JUDr. Ivan Daňo,Okresný súd Humenné,3,4,9,4
394,3196,JUDr. Jana Zuzan,Okresný súd Žiar nad Hronom,5,3,6,5
395,647,JUDr. Jozefína Králová,Okresný súd Bratislava IV,8,3,6,3
396,30,JUDr. Ľubica Balalová,Okresný súd Trenčín,4,4,5,6
397,920,JUDr. Ľubica Novotná,Okresný súd Bratislava II ,5,3,6,5
398,653,JUDr. Ľubomíra Krchníková,Okresný súd Pezinok,3,5,7,5
399,2420,JUDr. Ľubomíra Krišťáková,Okresný súd Čadca,8,3,3,5
400,1414,JUDr. Ľuboš Vereš,Okresný súd Košice I,4,2,9,4
401,764,JUDr. Marcela Malatká,Okresný súd Žilina,4,5,6,5
402,1487,JUDr. Mária Žáková,Okresný súd Košice I,4,4,5,6
403,1333,JUDr. Marián Török,Okresný súd Revúca,3,8,10,2
404,977,JUDr. Milan Petričko,Okresný súd Trebišov,3,2,10,4
405,825,JUDr. Oľga Mičietová,Okresný súd Košice II,10,2,3,4
406,487,JUDr. Rastislav Jakubovič,Okresný súd Galanta,10,3,7,1
407,1413,JUDr. Sandra Veľká,Okresný súd Košice I,10,1,5,3
408,134,JUDr. Vladimír Buchvald,Okresný súd Bratislava II ,4,5,9,3
409,797,JUDr. Zdenka Mattielighová,Okresný súd Bratislava III,3,8,4,6
410,54,JUDr. Zuzana Bartalská,Okresný súd Bratislava V,3,5,7,5
411,593,JUDr. Adriana Konkolovská,Okresný súd Komárno,5,7,8,2
412,1000,JUDr. Anna Plichtíková,Okresný súd Čadca,6,6,6,3
413,888,JUDr. Drahomír Mrva,Okresný súd Žilina,6,3,3,6
414,947,JUDr. Dušan Pagáč,Okresný súd Martin,7,4,6,3
415,61,JUDr. Erika Bebčáková,Okresný súd Žilina,3,6,9,3
416,733,JUDr. Helena Loduhová,Okresný súd Považská Bystrica,3,6,9,3
417,1278,JUDr. Ivana Štiftová,Okresný súd Bratislava II ,7,4,6,3
418,1116,JUDr. Jana Scholtzová,Okresný súd Žilina,8,2,3,5
419,1449,JUDr. Júlia Weiserová,Okresný súd Spišská Nová Ves,3,7,7,4
420,53,JUDr. Katarína Bartalská,Okresný súd Bratislava I,5,5,3,6
421,136,JUDr. Ladislav Bujňák,Okresný súd Košice I,3,6,9,3
422,1010,JUDr. Marián Polaček,Okresný súd Prešov,3,5,8,4
423,3390,JUDr. Marianna Hirková,Okresný súd Humenné,0,1,4,10
424,978,JUDr. Martina Petríková,Okresný súd Levice,6,5,5,4
425,446,JUDr. Milan Hupka,Okresný súd Bratislava II ,6,5,5,4
426,1058,JUDr. Miroslav Radačovský,Okresný súd Poprad,10,2,4,3
427,166,JUDr. Oľga Csémyová,Okresný súd Dunajská Streda,9,2,5,3
428,1395,JUDr. Pavel Varga,Okresný súd Košice I,5,8,6,3
429,3211,JUDr. Peter Kalata,Okresný súd Bratislava IV,7,5,4,4
430,1292,JUDr. Peter Šuťák,Okresný súd Prešov,3,5,8,4
431,1455,JUDr. Róbert Záhorák,Okresný súd Nové Zámky,10,3,8,0
432,669,Mgr. Andrea Kubjatková,Okresný súd Čadca,6,5,5,4
433,276,Mgr. Ivana Fekete,Okresný súd Bratislava III,6,4,4,5
434,607,Mgr. Jana Kosorínová,Okresný súd Levice,3,7,7,4
435,271,Mgr. Monika Farkašová,Okresný súd Nitra,3,6,9,3
436,649,JUDr. Andrea Kralovičová,Okresný súd Malacky,3,5,6,5
437,1293,JUDr. Beáta Šuťaková,Okresný súd Prešov,1,6,6,6
438,274,JUDr. Blažena Fedorková,Okresný súd Spišská Nová Ves,3,5,6,5
439,984,JUDr. Elena Petrusová,Okresný súd Veľký Krtíš,6,4,5,4
440,1291,JUDr. Elena Šuríková,Okresný súd Nové Mesto nad Váhom,6,10,5,2
441,95,JUDr. Eva Bieliková,Okresný súd Bratislava II ,7,3,3,5
442,966,JUDr. Ivan Pavlovič,Okresný súd Nové Mesto nad Váhom,3,6,7,4
443,1200,JUDr. Iveta Sýkorová,Okresný súd Žilina,10,1,1,5
444,1017,JUDr. Ján Poprocký,Okresný súd Košice I,3,5,9,3
445,1129,JUDr. Ján Skalický,Okresný súd Pezinok,2,7,9,3
446,228,JUDr. Jana Dubivská,Okresný súd Bardejov,2,7,6,5
447,410,JUDr. Katarína Holečková,Okresný súd Banská Bystrica,5,5,7,3
448,1268,JUDr. Katarína Šťastná,Okresný súd Spišská Nová Ves,2,6,5,6
449,136,JUDr. Ladislav Bujňák,Okresný súd Trebišov,3,3,10,3
450,286,JUDr. Mária Filová,Okresný súd Bratislava V,7,5,5,3
451,933,JUDr. Mária Ondriašová,Okresný súd Bratislava I,4,0,9,4
452,985,JUDr. Mária Petrušková,Okresný súd Poprad,3,5,9,3
453,1446,JUDr. Nadežda Wallnerová,Okresný súd Malacky,1,7,7,5
454,1485,JUDr. Róbert Zsiga,Okresný súd Košice I,5,5,4,5
455,1014,JUDr. Tatiana Poláková,Okresný súd Bratislava IV,10,2,2,4
456,308,JUDr. Tibor Gál,Okresný súd Brezno,5,6,5,4
457,679,JUDr. Viera Kukučková,Okresný súd Bratislava III,3,8,3,6
458,1075,JUDr. Zuzana Rigáňová,Okresný súd Bratislava IV,10,3,3,3
459,1185,Mgr. Eva Strašková,Okresný súd Veľký Krtíš,3,7,8,3
460,1192,Mgr. Eva Suchová,Okresný súd Bratislava IV,3,5,6,5
461,853,Mgr. Marek Mikulčík,Okresný súd Pezinok,10,1,4,3
462,277,Mgr. Maroš Fekete,Okresný súd Bratislava III,3,7,5,5
463,1183,Mgr. Peter Straka,Okresný súd Lučenec,7,5,5,3
464,1346,JUDr. Anna Trnková,Okresný súd Nitra,5,0,9,3
465,2642,JUDr. Boris Brondoš,Okresný súd Košice I,7,2,3,5
466,2567,JUDr. Dušan Špirek,Okresný súd Levice,3,4,9,3
467,1357,JUDr. Janka Túryová,Okresný súd Košice II,3,5,7,4
468,809,JUDr. Jozef Medveď,Okresný súd Žiar nad Hronom,1,10,5,5
