,judge,Vybavenosť,Reštančné z nevybavených,Kapacita vybavovať,Potvrdené rozhodnutia
443,JUDr. Miriam Penjaková,0,8,7,3
444,JUDr. Miriam Pintová,4,3,4,3
445,JUDr. Miriam Srogončíková,2,6,3,5
446,JUDr. Miriam Štillová,8,8,6,8
447,JUDr. Miroslav Baňacký,6,4,9,7
448,JUDr. Miroslav Číž,6,0,9,4
449,JUDr. Miroslav Dobrík,6,7,6,5
450,JUDr. Miroslav Jagnešák,1,6,0,4
451,JUDr. Miroslav Krištofík,4,6,6,0
452,JUDr. Miroslav Račko,10,6,9,7
453,JUDr. Miroslav Radačovský,4,6,3,3
454,JUDr. Miroslav Rudinský,0,6,0,1
455,JUDr. Miroslav Rybčák,3,5,7,0
456,JUDr. Miroslav Studenčan,6,6,9,6
457,JUDr. Miroslav Toma,5,4,8,3
458,JUDr. Miroslava Kvetková,3,8,6,10
459,JUDr. Miroslava Maláriková,2,8,4,6
460,JUDr. Miroslava Štannerová,6,4,6,8
461,JUDr. Monika Bellová,8,8,9,0
462,JUDr. Monika Géciová,1,8,2,3
463,JUDr. Monika Jakubová,6,6,4,8
464,JUDr. Monika Jusková,8,6,0,5
465,JUDr. Monika Koščová,4,7,7,4
466,JUDr. Monika Kublová,7,7,7,0
467,JUDr. Monika Liptáková,8,6,10,7
468,JUDr. Monika Sitáriková,8,7,8,9
469,JUDr. Monika Šabľová,0,3,0,2
470,JUDr. Monika Školníková,7,4,6,5
471,JUDr. Myrtill Vojteková,4,7,7,4
472,JUDr. Naďa Pethöová,7,4,5,2
473,JUDr. Nadežda Tomanicová,4,6,6,3
474,JUDr. Natália Kolláriková,8,7,6,6
475,JUDr. Noema Turanovičová,6,4,8,6
476,JUDr. Nora Zátopková,7,8,7,6
477,JUDr. Oľga Bitalová,3,9,7,5
478,JUDr. Oľga Csémyová,5,5,4,4
479,JUDr. Oľga Kováčová,6,5,5,0
480,JUDr. Oľga Mičietová,5,7,6,4
481,JUDr. Oľga Nižňanská,7,6,6,7
482,JUDr. Oľga Tatranská,5,6,3,3
483,JUDr. Ondrej Kekeňák,8,10,8,5
484,JUDr. Otília Belavá,7,3,1,6
485,JUDr. Otília Doláková,4,2,0,4
486,JUDr. Patrícia Miskolczyová,7,6,7,3
487,JUDr. Patrik Števík,3,6,5,2
488,JUDr. Paulína Pacherová,8,5,3,5
489,JUDr. Pavel Rohárik,6,5,6,5
490,JUDr. Pavel Varga,8,7,5,3
491,JUDr. Pavlína Krajčírová,2,6,7,5
492,JUDr. Pavol Bielik,7,3,7,4
493,JUDr. Pavol Roth,6,2,9,4
494,JUDr. Pavol Tomáš,8,5,7,2
495,JUDr. Peter Banský,5,5,3,4
496,JUDr. Peter Bebej,6,9,9,9
497,JUDr. Peter Csank,6,10,9,10
498,JUDr. Peter Heinrich,5,8,8,7
499,JUDr. Peter Koman,4,5,5,0
500,JUDr. Peter Kuruc,2,7,5,5
501,JUDr. Peter Lukáč,3,5,6,5
